,ao_hechos,delito,categoria_delito,longitud,latitud
1074780,2021,VIOLACION,VIOLACIÓN,-99.1556587802957,19.523997989173502
1074795,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0605127803526,19.4312352709996
1074827,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.18389349997679,19.5004507840963
1074912,2021,VIOLACION,VIOLACIÓN,-99.1471964102342,19.4733850104001
1074976,2021,VIOLACION,VIOLACIÓN,-99.1088656301284,19.267567925679103
1075130,2021,VIOLACION,VIOLACIÓN,-99.1516435099213,19.439736141246396
1075152,2021,VIOLACION,VIOLACIÓN,-99.11851859013059,19.3288439387707
1075157,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.08109382016309,19.3041633174787
1075410,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.20971333978571,19.3934621223167
1075698,2021,VIOLACION,VIOLACIÓN,-99.1441950498911,19.1933581996951
1075876,2021,VIOLACION,VIOLACIÓN,-99.0597919600204,19.415479643825897
1076063,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.22325760034309,19.410112776067
1076476,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2688649897159,19.3018893400593
1076767,2021,VIOLACION,VIOLACIÓN,-99.1451740302631,19.2760586583448
1076982,2021,VIOLACION,VIOLACIÓN,-99.05253161043841,19.3224614690307
1077008,2021,VIOLACION,VIOLACIÓN,-99.14985581958729,19.2803707115709
1077118,2021,VIOLACION,VIOLACIÓN,-99.00936930961241,19.2777904265099
1077405,2021,VIOLACION,VIOLACIÓN,-99.0857742602292,19.486033725839103
1077520,2021,VIOLACION,VIOLACIÓN,-99.0603394202435,19.415478016850397
1077647,2021,VIOLACION,VIOLACIÓN,-99.164802430277,19.4212914162952
1078012,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.21327442006609,19.4822405431392
1078377,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.1806375196348,19.3732365085968
